LOCATION,Quantity,METER NUMBERS,RATE/HR,TIMELIMIT,TYPE
SALT LAKE LOT,133,C25-C152,$0.10/HR,12 HRS,Lot
Harbor Village Garage,70,,,,Off-street
Lani Huli Garage,140,,,,Off-street
Civic Center Garage,73,,,,Off-street
HPD Lot Garage,10,,,,Off-street
Kailua Surface Lot,140,,,,Off-street
Kaimuki Surface Lot# 2,106,,,,Off-street
Kuhio-Kaiolu Surface Lot,58,,,,Off-street
Palace Square Surface Lot,38,,,,Off-street
Salt Lake Surface Lot,152,,,,Off-street
Kapiolani Lot,271,,,,Off-street
Zoo,217,,,,Off-street
Chinatown Gateway,112,,,,Concession
Hale Pauahi,197,,,,Concession
Harbor Court,458,,,,Concession
Kukui Plaza,434,,,,Concession
Marin Tower,258,,,,Concession
Kekaulike,52,,,,Concession
Smith,121,,,,Concession
Kaimuki Lot #1,274,,,,Concession
NBC,1500,,,,Concession
